"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","93.65","92.48","93.73","92.45","35.16M","1.79%"
"03/02/2023","92.00","89.66","92.28","89.59","32.23M","1.81%"
"03/01/2023","90.36","89.98","91.03","89.67","31.11M","0.33%"
"02/28/2023","90.06","89.33","91.23","89.32","30.14M","0.21%"
"02/27/2023","89.87","89.87","90.16","89.33","27.50M","0.83%"
"02/24/2023","89.13","89.44","89.89","88.57","36.59M","-1.94%"
"02/23/2023","90.89","91.92","91.94","89.76","41.21M","-0.83%"
"02/22/2023","91.65","91.70","92.11","90.61","30.88M","-0.15%"
"02/21/2023","91.79","93.00","93.10","91.72","33.63M","-2.71%"
"02/17/2023","94.35","94.85","95.56","93.21","34.28M","-1.21%"
"02/16/2023","95.51","95.37","97.68","94.74","42.46M","-1.48%"
"02/15/2023","96.94","94.49","97.12","94.15","50.30M","2.39%"
"02/14/2023","94.68","94.43","94.85","92.26","54.73M","0.07%"
"02/13/2023","94.61","94.74","95.20","93.84","50.08M","0.04%"
"02/10/2023","94.57","95.45","96.75","94.25","54.98M","-0.46%"
"02/09/2023","95.01","100.00","100.03","93.63","119.46M","-4.39%"
"02/08/2023","99.37","102.05","103.14","98.04","94.74M","-7.68%"
"02/07/2023","107.64","103.22","108.18","103.12","49.01M","4.61%"
"02/06/2023","102.90","102.40","104.36","101.88","32.00M","-1.79%"
"02/03/2023","104.78","102.93","107.81","102.58","65.31M","-2.75%"
"02/02/2023","107.74","105.80","107.85","105.61","69.88M","7.28%"
"02/01/2023","100.43","98.71","101.19","97.58","35.53M","1.61%"
"01/31/2023","98.84","96.87","98.88","96.82","29.87M","1.96%"
"01/30/2023","96.94","97.48","98.29","96.39","27.23M","-2.45%"
"01/27/2023","99.37","97.31","100.32","97.31","33.88M","1.90%"
"01/26/2023","97.52","96.50","97.57","95.38","30.11M","2.42%"
"01/25/2023","95.22","95.57","96.16","93.76","42.33M","-2.54%"
"01/24/2023","97.70","98.10","99.61","97.20","33.08M","-2.09%"
"01/23/2023","99.79","97.95","100.04","97.50","40.01M","1.81%"
"01/20/2023","98.02","95.10","98.30","95.02","63.19M","5.34%"
"01/19/2023","93.05","90.72","93.61","90.63","37.00M","2.12%"
"01/18/2023","91.12","92.14","92.80","90.64","29.12M","-0.19%"
"01/17/2023","91.29","92.06","92.25","90.05","32.60M","-0.90%"
"01/13/2023","92.12","90.85","92.19","90.13","26.33M","1.09%"
"01/12/2023","91.13","91.48","91.87","89.75","30.26M","-0.43%"
"01/11/2023","91.52","89.18","91.60","89.01","26.86M","3.51%"
"01/10/2023","88.42","85.98","88.67","85.83","30.47M","0.45%"
"01/09/2023","88.02","88.36","90.05","87.86","29.00M","0.78%"
"01/06/2023","87.34","86.79","87.69","84.86","41.38M","1.32%"
"01/05/2023","86.20","87.47","87.57","85.90","27.19M","-2.13%"
"01/04/2023","88.08","90.35","90.65","87.27","34.85M","-1.17%"
"01/03/2023","89.12","89.58","91.05","88.52","28.13M","1.01%"
"12/30/2022","88.23","86.98","88.30","86.57","23.99M","-0.25%"
"12/29/2022","88.45","86.62","88.85","86.61","23.33M","2.82%"
"12/28/2022","86.02","86.98","88.04","85.94","19.52M","-1.57%"
"12/27/2022","87.39","88.79","88.94","87.01","20.10M","-2.06%"
"12/23/2022","89.23","87.11","89.54","87.07","23.00M","1.68%"
"12/22/2022","87.76","88.16","88.54","86.32","27.66M","-2.03%"
"12/21/2022","89.58","89.08","90.22","88.32","24.75M","0.63%"
"12/20/2022","89.02","88.11","89.18","87.44","23.45M","0.66%"
"12/19/2022","88.44","90.25","90.56","88.21","29.49M","-2.02%"
"12/16/2022","90.26","90.76","91.33","89.52","58.01M","-0.66%"
"12/15/2022","90.86","93.13","93.64","90.01","40.11M","-4.43%"
"12/14/2022","95.07","95.20","96.87","93.60","28.73M","-0.59%"
